,Question,Answer
0,Help me!,ok
1,Python not working,sad
2,Need some help,here
3,help needed,:)
4,Windows crashed,O_o
5,What does the “yield” keyword do?,To understand what yield does you must understand what generators are. And before you can understand generators you must understand iterables.
6,"
Q: How to print colored text in terminal in Python?        ","1789 This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some python code from the blender build scripts: class bcolors: HEADER = '\033[95m' OKBLUE = '\033[94m' OKGREEN = '\033[92m' WARNING = '\033[93m' FAIL = '\033[91m' ENDC = '\033[0m' BOLD = '\033[1m' UNDERLINE = '\033[4m' To use code like this, you can do something like print(bcolors.WARNING + ""Warning: No active frommets remain. Continue?"" + bcolors.ENDC) or, with Python3.6+: print(f""{bcolors.WARNING}Warning: No active frommets remain. Continue?{bcolors.ENDC}"") This will work on unixes including OS X, linux and windows (provided you use ANSICON, or in Windows 10 provided you enable VT100 emulation). There are ansi codes for setting the color, moving the cursor, and more. If you are going to get complicated with this (and it sounds like you are if you are writing a game), you should look into the ""curses"" module, which handles a lot of the complicated parts of this for you. The Python Curses HowTO is a good introduction. If you are not using extended ASCII (i.e. not on a PC), you are stuck with the ascii characters below 127, and '#' or '@' is probably your best bet for a block. If you can ensure your terminal is using a IBM extended ascii character set, you have many more options. Characters 176, 177, 178 and 219 are the ""block characters"". Some modern text-based programs, such as ""Dwarf Fortress"", emulate text mode in a graphical mode, and use images of the classic PC font. You can find some of these bitmaps that you can use on the Dwarf Fortress Wiki see (user-made tilesets). The Text Mode Demo Contest has more resources for doing graphics in text mode. Hmm.. I think got a little carried away on this answer. I am in the midst of planning an epic text-based adventure game, though. Good luck with your colored text! share|| follow |||| edited Dec 10 '19 at 19:35 Richard 37.8k2222 gold badges124124 silver badges193193 bronze badges answered Nov 13 '08 at 19:25 joeldjoeld 20.7k33 gold badges2323 silver badges2222 bronze badges 6 what's the disabled used for? – cregox May 11 '10 at 21:58 3 @Cawas It looks to me like it is for disabling coloring for all colors which are printed using a particular bcolors instance. For example, you could create a bcolors instance and then use the member variables of the instance to print out your coloring characters, but then if you decided you no longer wanted coloring, you could call disable before printing out the characters and they would just print out as empty strings. – Steven Oxley Jun 15 '10 at 18:42 4 On Linux, you might want to use tput, like so since it results in more portable code. – Martin Ueding Nov 3 '12 at 11:04 3 @Cawas: A real use case for disable is when you pipe the output to a file; while tools like cat may support colors, it is generally better to not print color information to files. – Sebastian Mach Apr 9 '14 at 6:27 1 @AlexanderSimko, here's a ctypes code snippet to enable VT100 support in Windows 10: import ctypes; kernel32 = ctypes.WinDLL('kernel32'); hStdOut = kernel32.GetStdHandle(-11); mode = ctypes.c_ulong(); kernel32.GetConsoleMode(hStdOut, ctypes.byref(mode)); mode.value |= 4; kernel32.SetConsoleMode(hStdOut, mode). – Eryk Sun Sep 1 '16 at 23:38 | show 15 more comments"
7,"
Q: How do I download a file over HTTP using Python?        ","446 In Python 2, use urllib2 which comes with the standard library. import urllib2 response = urllib2.urlopen('http://www.example.com/') html = response.read() This is the most basic way to use the library, minus any error handling. You can also do more complex stuff such as changing headers. The documentation can be found here. share|| follow |||| edited Jun 5 '14 at 11:06 Deep LF 1691212 bronze badges answered Aug 22 '08 at 15:38 CoreyCorey 12.7k77 gold badges3333 silver badges3535 bronze badges 11 This won't work if there are spaces in the url you provide. In that case, you'll need to parse the url and urlencode the path. – Jason Sundram Apr 14 '10 at 21:17 91 Here is the Python 3 solution: stackoverflow.com/questions/7243750/… – tommy.carstensen Feb 25 '14 at 12:09 6 Just for reference. The way to urlencode the path is urllib2.quote – André Puel Aug 2 '14 at 2:09 11 @JasonSundram: If there are spaces in it, it isn't a URI. – Zaz Oct 1 '15 at 2:51 1 This does not work on windows with larger files. You need to read all blocks! – Avia Oct 10 '16 at 22:47 | show 1 more comment"
8,"
Q: Print string to text file        ","1191 text_file = open(""Output.txt"", ""w"") text_file.write(""Purchase Amount: %s"" % TotalAmount) text_file.close() If you use a context manager, the file is closed automatically for you with open(""Output.txt"", ""w"") as text_file: text_file.write(""Purchase Amount: %s"" % TotalAmount) If you're using Python2.6 or higher, it's preferred to use str.format() with open(""Output.txt"", ""w"") as text_file: text_file.write(""Purchase Amount: {0}"".format(TotalAmount)) For python2.7 and higher you can use {} instead of {0} In Python3, there is an optional file parameter to the print function with open(""Output.txt"", ""w"") as text_file: print(""Purchase Amount: {}"".format(TotalAmount), file=text_file) Python3.6 introduced f-strings for another alternative with open(""Output.txt"", ""w"") as text_file: print(f""Purchase Amount: {TotalAmount}"", file=text_file) share|| follow |||| edited May 2 '17 at 3:57 answered Mar 7 '11 at 0:34 John La RooyJohn La Rooy 239k4545 gold badges315315 silver badges458458 bronze badges 2 Assuming TotalAmount is an integer, shouldn't the ""%s"" be a ""%d""? – Rui Curado Aug 22 '13 at 10:46 6 @RuiCurado, if TotalAmount is an int, either %d or %s will do the same thing. – John La Rooy Aug 22 '13 at 10:54 2 Great answer. I'm seeing a syntax error with a nearly identical use case: with . . .: print('{0}'.format(some_var), file=text_file) is throwing: SyntaxError: invalid syntax at the equal sign... – nicorellius Apr 6 '16 at 19:51 4 @nicorellius, if you wish to use that with Python2.x you need to put from __future__ import print_function at the top of the file. Note that this will transform all of the print statements in the file to the newer function calls. – John La Rooy Apr 6 '16 at 20:48 To make sure know what the variable type is often convert it to make sure, ex: ""text_file.write('Purchase Amount: %s' % str(TotalAmount))"" which will work with lists, strings, floats, ints, and anything else that is convertable to a string. – EBo Sep 9 '16 at 11:19 | show 4 more comments"
9,"
Q: Python module for converting PDF to text [closed]        ","140 Try PDFMiner. It can extract text from PDF files as HTML, SGML or ""Tagged PDF"" format. The Tagged PDF format seems to be the cleanest, and stripping out the XML tags leaves just the bare text. A Python 3 version is available under: https://github.com/pdfminer/pdfminer.six share|| follow |||| edited Jun 1 '19 at 3:12 Felipe Augusto 4,37055 gold badges2121 silver badges4040 bronze badges answered Aug 25 '08 at 5:21 David CrowDavid Crow 14.7k88 gold badges3636 silver badges3434 bronze badges 2 I just added an answer descibing how to use pdfminer as a library. – codeape Nov 24 '08 at 14:21 23 no python 3 support :( – Karl Adler Dec 19 '14 at 16:13 1 The answer I provided in this thread might be useful for people looking at this answer and wondering how to use the library. I give an example on how to use the PDFMiner library to extract text from the PDF. Since the documentation is a bit sparse, I figured it might help a few folks. – DuckPuncher Feb 13 '15 at 16:56 15 regarding python 3, there is a six-based fork pypi.python.org/pypi/pdfminer.six – Denis Cornehl Dec 4 '15 at 10:10 1 sample code at stackoverflow.com/a/26495057/125617 – Renaud Jan 6 '16 at 21:38 | show 3 more comments"
